,genetic,length,mass,exercise,smoking,alcohol,sugar,lifespan
54,84.0,213.0,73.0,1.0,6.0,4.0,4,83
55,84.0,185.0,88.0,2.0,8.0,1.0,1,92
56,84.0,164.0,81.0,2.0,2.0,4.0,2,92
57,84.0,164.0,72.0,2.0,20.0,7.0,2,71
58,84.0,201.0,69.0,3.0,5.0,3.0,2,107
59,84.0,164.0,90.0,3.0,0.0,8.0,3,92
60,84.0,190.0,110.0,2.0,0.0,7.0,1,95
61,84.0,203.0,99.0,1.0,4.0,9.0,1,80
62,83.0,164.0,90.0,1.0,0.0,8.0,2,79
63,83.0,174.0,83.0,3.0,3.0,6.0,2,98
64,83.0,188.0,98.0,1.0,0.0,4.0,3,81
65,83.0,179.0,74.0,2.0,1.0,9.0,3,86
66,83.0,200.0,62.0,1.0,18.0,5.0,2,75
67,83.0,183.0,75.0,1.0,20.0,6.0,2,70
68,83.0,177.0,81.0,2.0,7.0,3.0,2,91
69,83.0,170.0,68.0,1.0,0.0,6.0,3,81
70,83.0,206.0,67.0,1.0,2.0,7.0,1,88
71,83.0,200.0,92.0,2.0,5.0,9.0,1,88
72,83.0,167.0,105.0,2.0,0.0,4.0,1,84
73,83.0,175.0,77.0,2.0,21.0,6.0,2,79
74,83.0,189.0,85.0,1.0,6.0,6.0,3,71
75,83.0,173.0,72.0,1.0,10.0,6.0,3,70
76,83.0,179.0,98.0,1.0,15.0,4.0,2,70
77,83.0,178.0,71.0,2.0,0.0,8.0,2,92
78,83.0,177.0,94.0,2.0,17.0,2.0,1,78
79,83.0,176.0,69.0,3.0,7.0,8.0,3,89
80,83.0,210.0,73.0,2.0,3.0,8.0,1,97
81,83.0,196.0,62.0,2.0,2.0,5.0,3,88
82,83.0,186.0,75.0,3.0,0.0,1.0,2,107
83,83.0,174.0,74.0,1.0,6.0,4.0,4,70
84,83.0,188.0,78.0,2.0,1.0,4.0,3,94
85,83.0,183.0,89.0,2.0,0.0,9.0,3,84
86,83.0,173.0,81.0,2.0,8.0,9.0,2,76
87,83.0,183.0,83.0,1.0,20.0,8.0,3,66
88,83.0,177.0,64.0,1.0,13.0,6.0,2,71
89,83.0,184.0,69.0,1.0,6.0,7.0,3,80
90,83.0,178.0,74.0,1.0,12.0,2.0,3,68
91,83.0,181.0,69.0,0.0,0.0,9.0,3,71
92,83.0,205.0,65.0,3.0,20.0,9.0,3,82
93,83.0,164.0,71.0,2.0,4.0,8.0,3,77
94,83.0,184.0,90.0,4.0,4.0,3.0,2,105
95,83.0,188.0,64.0,1.0,1.0,2.0,1,93
96,83.0,212.0,81.0,1.0,0.0,5.0,1,88
97,83.0,192.0,91.0,2.0,1.0,6.0,2,86
98,83.0,179.0,61.0,2.0,0.0,9.0,3,89
99,83.0,206.0,66.0,1.0,0.0,0.0,3,89
100,83.0,183.0,61.0,4.0,0.0,5.0,1,113
101,83.0,186.0,68.0,2.0,12.0,7.0,1,88
102,83.0,205.0,62.0,2.0,3.0,3.0,2,97
103,83.0,172.0,75.0,2.0,9.0,0.0,3,84
104,83.0,173.0,73.0,2.0,17.0,9.0,4,70
105,83.0,166.0,107.0,1.0,12.0,10.0,2,59
106,83.0,174.0,82.0,1.0,7.0,6.0,5,63
107,83.0,201.0,61.0,0.0,6.0,8.0,3,72
108,83.0,175.0,98.0,2.0,21.0,7.0,2,70
109,83.0,202.0,61.0,2.0,2.0,3.0,2,96
110,83.0,167.0,78.0,1.0,18.0,8.0,2,65
111,83.0,201.0,96.0,1.0,2.0,7.0,3,78
112,83.0,178.0,68.0,2.0,0.0,5.0,2,96
113,83.0,202.0,71.0,1.0,8.0,4.0,3,76
114,83.0,159.0,75.0,1.0,0.0,8.0,4,67
115,83.0,181.0,80.0,1.0,16.0,7.0,4,66
116,83.0,186.0,95.0,2.0,6.0,9.0,2,84
117,83.0,169.0,93.0,1.0,21.0,8.0,2,57
118,83.0,192.0,69.0,2.0,0.0,5.0,2,98
119,83.0,171.0,80.0,2.0,7.0,9.0,2,84
120,83.0,164.0,86.0,1.0,15.0,9.0,3,56
121,83.0,198.0,79.0,3.0,14.0,7.0,2,93
122,83.0,170.0,68.0,2.0,20.0,1.0,3,76
123,83.0,176.0,78.0,2.0,9.0,9.0,1,83
124,83.0,187.0,67.0,1.0,20.0,3.0,3,68
125,83.0,182.0,105.0,3.0,4.0,8.0,3,89
126,83.0,181.0,67.0,2.0,13.0,1.0,3,86
127,83.0,181.0,110.0,1.0,16.0,5.0,2,68
128,83.0,187.0,71.0,2.0,11.0,3.0,2,87
129,83.0,190.0,85.0,3.0,22.0,9.0,2,78
130,83.0,193.0,104.0,1.0,19.0,6.0,3,64
131,83.0,187.0,67.0,2.0,0.0,6.0,3,91
132,83.0,188.0,63.0,2.0,22.0,0.0,2,80
133,83.0,195.0,64.0,3.0,0.0,1.0,3,107
134,83.0,182.0,62.0,2.0,18.0,6.0,2,80
135,83.0,167.0,78.0,3.0,13.0,7.0,2,91
136,83.0,194.0,94.0,2.0,0.0,6.0,2,89
137,83.0,175.0,75.0,1.0,19.0,6.0,4,61
138,83.0,183.0,68.0,2.0,18.0,1.0,3,78
139,83.0,202.0,92.0,1.0,14.0,2.0,2,79
140,83.0,183.0,71.0,2.0,3.0,9.0,2,85
141,83.0,201.0,74.0,2.0,17.0,4.0,4,75
142,83.0,168.0,99.0,2.0,14.0,9.0,1,74
143,83.0,188.0,62.0,2.0,20.0,4.0,1,83
144,83.0,204.0,79.0,1.0,4.0,8.0,2,82
145,83.0,196.0,74.0,1.0,0.0,3.0,3,85
146,83.0,183.0,71.0,2.0,13.0,8.0,4,75
147,83.0,186.0,97.0,2.0,15.0,7.0,1,82
148,83.0,180.0,66.0,1.0,8.0,8.0,3,68
149,83.0,195.0,86.0,1.0,22.0,8.0,2,62
150,83.0,167.0,65.0,1.0,5.0,3.0,1,80
151,83.0,186.0,71.0,3.0,7.0,8.0,3,90
152,83.0,172.0,64.0,1.0,12.0,9.0,1,71
153,83.0,165.0,88.0,2.0,8.0,9.0,3,75
154,83.0,186.0,75.0,1.0,18.0,1.0,2,72
155,83.0,184.0,79.0,3.0,15.0,7.0,3,87
156,83.0,163.0,108.0,1.0,10.0,7.0,2,63
157,83.0,193.0,94.0,1.0,11.0,5.0,1,78
158,83.0,176.0,90.0,2.0,13.0,7.0,1,81
159,83.0,180.0,78.0,3.0,5.0,9.0,3,90
160,83.0,192.0,62.0,2.0,3.0,3.0,2,92
161,83.0,201.0,75.0,3.0,15.0,1.0,2,94
162,83.0,185.0,60.0,2.0,1.0,3.0,2,95
163,83.0,175.0,62.0,2.0,1.0,9.0,2,88
164,83.0,195.0,81.0,1.0,18.0,5.0,2,70
165,83.0,196.0,83.0,2.0,0.0,7.0,4,82
166,83.0,198.0,77.0,1.0,0.0,7.0,4,75
167,83.0,206.0,89.0,1.0,4.0,1.0,3,86
168,83.0,178.0,69.0,1.0,14.0,6.0,2,75
169,83.0,198.0,76.0,1.0,10.0,9.0,2,70
170,83.0,196.0,90.0,1.0,0.0,2.0,4,84
171,83.0,207.0,70.0,1.0,1.0,8.0,3,80
172,83.0,177.0,78.0,1.0,22.0,0.0,3,68
173,83.0,181.0,70.0,0.0,1.0,7.0,2,74
174,83.0,169.0,85.0,1.0,17.0,4.0,3,65
175,83.0,196.0,100.0,2.0,19.0,8.0,1,74
176,83.0,173.0,73.0,3.0,5.0,3.0,2,104
177,83.0,161.0,60.0,1.0,18.0,6.0,2,63
178,83.0,179.0,112.0,1.0,18.0,5.0,3,61
179,83.0,165.0,96.0,1.0,7.0,8.0,2,70
180,83.0,197.0,66.0,1.0,3.0,9.0,3,78
181,83.0,181.0,73.0,2.0,15.0,5.0,3,76
182,83.0,198.0,76.0,1.0,1.0,9.0,3,73
183,83.0,172.0,82.0,3.0,21.0,8.0,1,84
184,83.0,204.0,63.0,3.0,4.0,8.0,3,94
185,83.0,205.0,74.0,1.0,4.0,7.0,1,85
186,83.0,184.0,72.0,1.0,13.0,9.0,3,68
187,83.0,187.0,64.0,1.0,22.0,7.0,3,64
188,83.0,202.0,76.0,2.0,11.0,3.0,1,89
189,83.0,193.0,86.0,2.0,0.0,3.0,4,87
190,83.0,164.0,89.0,2.0,0.0,5.0,1,91
191,83.0,177.0,87.0,3.0,1.0,4.0,3,93
192,83.0,193.0,85.0,1.0,13.0,6.0,2,75
193,83.0,195.0,88.0,3.0,5.0,5.0,2,100
194,83.0,197.0,82.0,1.0,19.0,8.0,3,66
195,83.0,199.0,81.0,1.0,14.0,7.0,4,69
196,83.0,175.0,72.0,2.0,0.0,0.0,1,99
197,83.0,199.0,91.0,1.0,1.0,3.0,3,78
198,83.0,172.0,74.0,2.0,0.0,9.0,2,90
199,83.0,190.0,61.0,2.0,0.0,6.0,2,97
200,83.0,183.0,73.0,1.0,12.0,5.0,3,69
201,83.0,193.0,67.0,2.0,6.0,8.0,1,86
202,83.0,198.0,75.0,2.0,4.0,4.0,2,94
203,83.0,189.0,93.0,2.0,1.0,3.0,2,89
204,83.0,182.0,93.0,1.0,12.0,6.0,2,70
205,83.0,179.0,67.0,2.0,13.0,10.0,3,74
206,83.0,164.0,85.0,1.0,12.0,4.0,1,72
207,83.0,178.0,92.0,1.0,5.0,9.0,4,66
208,83.0,186.0,67.0,3.0,0.0,9.0,3,102
209,83.0,205.0,61.0,1.0,13.0,6.0,2,78
210,83.0,173.0,63.0,1.0,12.0,9.0,3,69
211,83.0,180.0,72.0,2.0,4.0,5.0,1,90
212,83.0,182.0,68.0,3.0,0.0,6.0,2,104
213,83.0,179.0,62.0,1.0,4.0,9.0,2,78
214,83.0,201.0,112.0,1.0,20.0,3.0,4,61
215,83.0,192.0,67.0,2.0,20.0,7.0,1,83
216,83.0,191.0,92.0,2.0,17.0,5.0,1,81
217,83.0,187.0,100.0,1.0,20.0,8.0,3,59
218,83.0,207.0,70.0,2.0,4.0,7.0,1,96
219,83.0,183.0,90.0,3.0,16.0,6.0,1,84
220,83.0,170.0,73.0,1.0,2.0,2.0,2,83
221,83.0,176.0,100.0,0.0,12.0,6.0,2,61
222,83.0,176.0,89.0,1.0,17.0,2.0,4,61
223,83.0,191.0,82.0,1.0,3.0,7.0,2,77
224,83.0,194.0,77.0,3.0,18.0,1.0,4,88
225,83.0,188.0,66.0,1.0,5.0,7.0,3,74
226,83.0,157.0,83.0,2.0,2.0,8.0,4,77
227,83.0,176.0,83.0,1.0,21.0,5.0,2,65
228,83.0,178.0,69.0,2.0,8.0,5.0,3,85
229,83.0,178.0,85.0,1.0,21.0,6.0,3,59
230,83.0,196.0,100.0,1.0,11.0,6.0,5,66
231,83.0,194.0,69.0,2.0,9.0,0.0,4,85
232,83.0,177.0,97.0,2.0,18.0,5.0,2,78
233,83.0,201.0,66.0,2.0,4.0,8.0,3,88
234,83.0,192.0,83.0,2.0,4.0,6.0,4,85
235,83.0,184.0,69.0,3.0,0.0,7.0,2,99
236,83.0,189.0,63.0,0.0,13.0,9.0,2,66
237,83.0,166.0,80.0,1.0,4.0,0.0,4,74
238,83.0,165.0,80.0,2.0,20.0,8.0,1,71
239,83.0,194.0,71.0,1.0,9.0,9.0,2,78
240,83.0,194.0,99.0,1.0,9.0,5.0,4,71
241,83.0,194.0,82.0,1.0,6.0,2.0,2,80
242,83.0,197.0,79.0,3.0,7.0,7.0,2,94
243,83.0,214.0,89.0,1.0,11.0,4.0,2,80
244,83.0,166.0,71.0,2.0,1.0,7.0,3,82
245,83.0,199.0,63.0,1.0,10.0,7.0,2,77
246,83.0,167.0,95.0,1.0,1.0,1.0,2,80
247,83.0,192.0,68.0,3.0,7.0,8.0,3,92
248,83.0,184.0,94.0,2.0,16.0,9.0,3,74
249,82.0,195.0,87.0,1.0,1.0,1.0,2,84
250,82.0,178.0,69.0,2.0,11.0,9.0,2,78
251,82.0,176.0,69.0,1.0,0.0,6.0,2,81
252,82.0,209.0,90.0,1.0,17.0,6.0,3,68
253,82.0,169.0,94.0,1.0,20.0,3.0,1,66
254,82.0,182.0,108.0,1.0,18.0,3.0,3,62
255,82.0,175.0,76.0,1.0,22.0,7.0,1,60
256,82.0,165.0,65.0,1.0,21.0,5.0,3,66
257,82.0,188.0,77.0,1.0,21.0,4.0,1,67
258,82.0,194.0,64.0,3.0,22.0,3.0,1,90
259,82.0,184.0,72.0,4.0,6.0,7.0,1,106
260,82.0,172.0,60.0,1.0,9.0,7.0,4,71
261,82.0,196.0,81.0,1.0,21.0,2.0,2,70
262,82.0,194.0,78.0,1.0,7.0,9.0,2,75
263,82.0,160.0,102.0,2.0,8.0,5.0,2,80
264,82.0,196.0,72.0,1.0,5.0,8.0,3,76
265,82.0,174.0,90.0,3.0,2.0,0.0,3,102
266,82.0,194.0,75.0,0.0,10.0,6.0,2,68
267,82.0,184.0,92.0,1.0,21.0,9.0,2,57
268,82.0,174.0,74.0,2.0,5.0,5.0,3,80
269,82.0,177.0,101.0,1.0,2.0,6.0,3,77
270,82.0,172.0,88.0,1.0,13.0,8.0,2,63
271,82.0,163.0,75.0,2.0,22.0,8.0,3,64
272,82.0,179.0,84.0,1.0,6.0,0.0,2,78
273,82.0,185.0,70.0,2.0,19.0,1.0,1,81
274,82.0,167.0,74.0,1.0,12.0,7.0,1,71
275,82.0,176.0,76.0,0.0,1.0,9.0,2,71
276,82.0,184.0,67.0,3.0,20.0,4.0,4,79
277,82.0,186.0,84.0,2.0,7.0,5.0,3,77
278,82.0,185.0,88.0,2.0,6.0,7.0,2,83
279,82.0,169.0,77.0,1.0,5.0,5.0,2,73
280,82.0,183.0,97.0,2.0,18.0,4.0,2,75
281,82.0,188.0,88.0,2.0,11.0,9.0,2,80
282,82.0,177.0,84.0,3.0,3.0,7.0,3,87
283,82.0,177.0,62.0,3.0,12.0,9.0,3,89
284,82.0,178.0,70.0,2.0,19.0,1.0,1,86
285,82.0,171.0,88.0,3.0,11.0,9.0,1,85
286,82.0,200.0,110.0,2.0,8.0,9.0,1,80
287,82.0,170.0,89.0,2.0,12.0,1.0,3,80
288,82.0,182.0,73.0,2.0,10.0,8.0,1,83
289,82.0,177.0,69.0,1.0,9.0,6.0,2,78
290,82.0,208.0,76.0,2.0,5.0,8.0,2,91
291,82.0,189.0,86.0,1.0,13.0,7.0,3,67
292,82.0,175.0,71.0,2.0,5.0,0.0,1,94
293,82.0,185.0,92.0,1.0,1.0,9.0,1,74
294,82.0,163.0,73.0,1.0,13.0,3.0,2,64
295,82.0,178.0,64.0,1.0,6.0,9.0,2,82
296,82.0,168.0,93.0,1.0,22.0,2.0,1,69
297,82.0,189.0,96.0,3.0,18.0,4.0,1,86
298,82.0,197.0,88.0,3.0,16.0,8.0,3,80
299,82.0,172.0,94.0,3.0,13.0,4.0,1,94
300,82.0,180.0,74.0,3.0,13.0,4.0,3,90
301,82.0,188.0,65.0,1.0,0.0,2.0,5,77
302,82.0,199.0,71.0,1.0,15.0,8.0,2,75
303,82.0,177.0,105.0,1.0,17.0,8.0,2,60
304,82.0,172.0,71.0,2.0,15.0,9.0,3,74
305,82.0,200.0,74.0,2.0,4.0,8.0,2,87
306,82.0,205.0,69.0,1.0,1.0,8.0,4,75
307,82.0,190.0,66.0,2.0,19.0,4.0,3,81
308,82.0,174.0,79.0,2.0,3.0,6.0,4,76
309,82.0,178.0,66.0,2.0,2.0,9.0,2,83
310,82.0,165.0,97.0,1.0,11.0,8.0,4,57
311,82.0,174.0,98.0,2.0,2.0,4.0,3,78
312,82.0,168.0,66.0,1.0,0.0,8.0,2,81
313,82.0,183.0,63.0,1.0,4.0,1.0,2,86
314,82.0,194.0,90.0,1.0,13.0,7.0,2,73
315,82.0,183.0,85.0,1.0,0.0,5.0,2,84
316,82.0,195.0,101.0,0.0,20.0,6.0,2,56
317,82.0,187.0,81.0,1.0,1.0,8.0,1,79
318,82.0,204.0,95.0,3.0,6.0,8.0,2,92
319,82.0,168.0,93.0,1.0,0.0,7.0,2,70
320,82.0,183.0,76.0,1.0,2.0,6.0,2,81
321,82.0,167.0,75.0,1.0,11.0,10.0,2,62
322,82.0,187.0,79.0,0.0,0.0,8.0,2,74
323,82.0,199.0,84.0,2.0,18.0,1.0,2,80
324,82.0,194.0,82.0,1.0,17.0,5.0,3,69
325,82.0,192.0,69.0,1.0,0.0,3.0,3,87
326,82.0,156.0,94.0,0.0,19.0,5.0,3,50
327,82.0,209.0,86.0,2.0,17.0,5.0,3,74
328,82.0,168.0,81.0,1.0,15.0,3.0,1,70
329,82.0,182.0,82.0,1.0,7.0,9.0,2,75
330,82.0,214.0,68.0,2.0,10.0,3.0,4,82
331,82.0,174.0,111.0,1.0,17.0,4.0,2,64
332,82.0,175.0,81.0,2.0,0.0,1.0,3,87
333,82.0,179.0,95.0,1.0,15.0,1.0,3,70
334,82.0,163.0,100.0,2.0,18.0,4.0,3,66
335,82.0,174.0,98.0,2.0,2.0,8.0,3,83
336,82.0,196.0,72.0,1.0,0.0,5.0,3,82
337,82.0,162.0,84.0,2.0,19.0,4.0,3,73
338,82.0,212.0,92.0,1.0,12.0,1.0,5,72
339,82.0,194.0,85.0,1.0,14.0,9.0,1,74
340,82.0,190.0,83.0,2.0,17.0,1.0,4,77
341,82.0,161.0,96.0,2.0,13.0,7.0,2,68
342,82.0,180.0,63.0,3.0,14.0,3.0,3,88
343,82.0,190.0,71.0,1.0,0.0,0.0,3,85
344,82.0,167.0,71.0,2.0,16.0,7.0,3,67
345,82.0,171.0,85.0,2.0,4.0,6.0,3,76
346,82.0,182.0,68.0,3.0,7.0,8.0,2,92
347,82.0,184.0,80.0,1.0,15.0,7.0,4,62
348,82.0,165.0,80.0,2.0,3.0,9.0,2,79
349,82.0,188.0,81.0,2.0,4.0,1.0,2,90
350,82.0,169.0,86.0,2.0,14.0,3.0,3,76
351,82.0,179.0,72.0,1.0,7.0,9.0,2,71
352,82.0,193.0,112.0,2.0,4.0,7.0,2,84
353,82.0,184.0,71.0,0.0,9.0,6.0,2,69
354,82.0,182.0,65.0,1.0,13.0,5.0,1,74
355,82.0,181.0,70.0,1.0,3.0,8.0,3,78
356,82.0,168.0,97.0,1.0,14.0,5.0,1,68
357,82.0,170.0,108.0,1.0,4.0,5.0,2,74
358,82.0,193.0,83.0,2.0,0.0,8.0,3,81
359,82.0,196.0,76.0,2.0,3.0,9.0,2,88
360,82.0,176.0,68.0,1.0,19.0,7.0,1,70
361,82.0,175.0,63.0,0.0,18.0,4.0,2,65
362,82.0,182.0,83.0,2.0,22.0,5.0,3,73
363,82.0,179.0,90.0,1.0,17.0,2.0,2,68
364,82.0,189.0,75.0,2.0,7.0,5.0,3,84
365,82.0,186.0,66.0,2.0,17.0,0.0,2,80
366,82.0,183.0,72.0,2.0,22.0,9.0,5,69
367,82.0,179.0,63.0,2.0,11.0,6.0,1,86
368,82.0,178.0,80.0,0.0,16.0,3.0,2,62
369,82.0,180.0,65.0,2.0,17.0,5.0,3,79
370,82.0,163.0,73.0,3.0,15.0,6.0,2,90
371,82.0,199.0,89.0,2.0,11.0,9.0,2,77
372,82.0,174.0,64.0,2.0,19.0,0.0,3,83
373,82.0,178.0,97.0,3.0,20.0,6.0,1,87
374,82.0,207.0,90.0,2.0,8.0,7.0,1,92
375,82.0,198.0,95.0,1.0,8.0,8.0,3,71
376,82.0,189.0,88.0,1.0,2.0,1.0,3,79
377,82.0,173.0,99.0,3.0,9.0,9.0,2,83
378,82.0,190.0,91.0,1.0,0.0,3.0,2,83
379,82.0,179.0,93.0,2.0,9.0,9.0,3,76
380,82.0,207.0,90.0,2.0,0.0,1.0,2,99
381,82.0,185.0,76.0,2.0,3.0,8.0,3,77
382,82.0,196.0,78.0,0.0,15.0,7.0,2,63
383,82.0,174.0,74.0,2.0,13.0,5.0,3,81
384,82.0,192.0,75.0,1.0,12.0,6.0,3,70
385,82.0,176.0,67.0,1.0,19.0,6.0,3,59
386,82.0,175.0,109.0,0.0,16.0,8.0,2,51
387,82.0,202.0,70.0,1.0,22.0,1.0,3,70
388,82.0,172.0,74.0,1.0,18.0,8.0,3,63
389,82.0,210.0,86.0,3.0,4.0,6.0,2,97
390,82.0,188.0,79.0,1.0,9.0,9.0,1,73
391,82.0,187.0,70.0,1.0,0.0,5.0,1,85
392,82.0,161.0,72.0,2.0,10.0,5.0,3,74
393,82.0,197.0,76.0,2.0,11.0,1.0,2,86
394,82.0,167.0,80.0,1.0,11.0,9.0,1,69
395,82.0,194.0,76.0,2.0,19.0,9.0,1,78
396,82.0,183.0,101.0,3.0,0.0,9.0,3,94
397,82.0,182.0,81.0,1.0,22.0,2.0,2,64
398,82.0,179.0,90.0,1.0,1.0,5.0,1,82
399,82.0,179.0,79.0,1.0,20.0,0.0,1,74
400,82.0,173.0,67.0,1.0,0.0,8.0,3,79
401,82.0,178.0,72.0,3.0,8.0,7.0,3,90
402,82.0,170.0,75.0,1.0,4.0,1.0,3,81
403,82.0,176.0,63.0,1.0,14.0,9.0,4,61
404,82.0,176.0,65.0,1.0,17.0,3.0,3,67
405,82.0,180.0,73.0,1.0,18.0,2.0,3,71
406,82.0,196.0,94.0,2.0,3.0,6.0,4,76
407,82.0,187.0,92.0,1.0,22.0,8.0,2,61
408,82.0,186.0,96.0,2.0,14.0,9.0,2,70
409,82.0,161.0,78.0,3.0,16.0,3.0,2,87
410,82.0,176.0,79.0,2.0,0.0,6.0,3,87
411,82.0,202.0,87.0,1.0,16.0,8.0,2,70
412,82.0,179.0,60.0,3.0,7.0,2.0,1,101
413,82.0,201.0,91.0,2.0,21.0,4.0,3,74
414,82.0,198.0,71.0,3.0,17.0,7.0,1,88
415,82.0,180.0,74.0,3.0,10.0,8.0,4,87
416,82.0,168.0,68.0,2.0,0.0,4.0,3,93
417,82.0,180.0,89.0,2.0,3.0,4.0,2,91
418,82.0,161.0,90.0,2.0,13.0,6.0,3,71
419,82.0,189.0,62.0,1.0,19.0,4.0,2,70
420,82.0,199.0,80.0,1.0,17.0,6.0,3,68
421,82.0,201.0,100.0,1.0,21.0,9.0,5,56
422,82.0,196.0,92.0,1.0,11.0,7.0,1,72
423,82.0,185.0,66.0,3.0,9.0,1.0,1,100
424,82.0,192.0,63.0,0.0,4.0,6.0,2,76
425,82.0,177.0,100.0,2.0,11.0,1.0,1,82
426,82.0,173.0,66.0,2.0,17.0,4.0,2,83
427,82.0,184.0,78.0,1.0,0.0,9.0,4,78
428,82.0,173.0,94.0,2.0,16.0,8.0,2,66
429,82.0,208.0,93.0,1.0,4.0,4.0,1,87
430,82.0,213.0,89.0,1.0,2.0,3.0,2,87
431,82.0,201.0,82.0,1.0,3.0,4.0,3,79
432,82.0,190.0,84.0,2.0,0.0,6.0,3,84
433,82.0,184.0,82.0,4.0,21.0,0.0,2,94
434,82.0,190.0,111.0,2.0,4.0,8.0,2,76
435,82.0,174.0,83.0,2.0,6.0,2.0,2,84
436,82.0,172.0,73.0,1.0,9.0,7.0,2,71
437,82.0,191.0,80.0,2.0,11.0,6.0,4,80
438,82.0,205.0,74.0,2.0,19.0,9.0,3,71
439,82.0,177.0,86.0,1.0,14.0,6.0,3,69
440,82.0,197.0,91.0,3.0,19.0,5.0,5,76
441,82.0,186.0,101.0,3.0,21.0,5.0,2,82
442,82.0,173.0,65.0,4.0,4.0,7.0,2,106
443,82.0,199.0,64.0,1.0,5.0,5.0,2,83
444,82.0,194.0,64.0,1.0,5.0,3.0,3,86
445,82.0,169.0,61.0,3.0,13.0,7.0,2,90
446,82.0,204.0,71.0,2.0,0.0,2.0,3,94
447,82.0,182.0,75.0,1.0,1.0,5.0,3,78
448,82.0,173.0,77.0,1.0,12.0,10.0,4,62
449,82.0,187.0,103.0,2.0,2.0,7.0,2,81
450,82.0,175.0,100.0,1.0,0.0,8.0,1,73
451,82.0,184.0,76.0,3.0,2.0,3.0,4,92
452,82.0,197.0,80.0,1.0,19.0,5.0,2,71
453,82.0,161.0,85.0,1.0,20.0,6.0,2,59
454,82.0,180.0,98.0,2.0,1.0,6.0,3,82
455,82.0,181.0,87.0,4.0,20.0,7.0,1,91
456,82.0,190.0,83.0,1.0,20.0,10.0,4,59
457,82.0,179.0,69.0,3.0,18.0,0.0,3,87
458,82.0,204.0,70.0,1.0,10.0,9.0,2,80
459,82.0,170.0,71.0,3.0,19.0,7.0,4,76
460,82.0,182.0,78.0,3.0,3.0,3.0,2,96
461,82.0,179.0,83.0,1.0,13.0,6.0,2,64
462,82.0,201.0,71.0,1.0,13.0,8.0,2,75
463,82.0,189.0,73.0,0.0,4.0,9.0,2,69
