genetic,exercise,smoking,alcohol,sugar,bmi,lifespan
90.3,2.1,1.4,3.9,7.0,30.28,89.8
77.8,3.9,0.4,5.1,4.9,38.03,77.6
82.4,0.1,18.1,4.7,6.0,41.04,74.1
85.3,2.0,10.7,0.6,7.4,29.41,82.5
84.7,1.5,5.4,4.2,3.9,35.08,81.8
87.9,2.4,11.0,4.2,2.1,14.81,84.4
75.6,2.3,20.3,1.4,4.9,19.23,70.6
81.1,1.2,7.6,4.6,5.2,14.61,78.1
67.2,2.2,3.0,0.5,10.7,39.44,65.4
77.2,3.1,5.8,5.3,8.0,22.7,76.4
69.7,1.2,11.7,3.8,11.8,32.32,65.5
88.7,1.7,11.6,2.1,2.5,39.36,85.3
73.6,2.5,6.1,4.5,8.4,34.46,71.9
76.8,1.8,15.5,0.9,7.8,17.75,73.9
82.7,4.3,0.8,0.5,4.9,27.43,86.3
84.7,2.6,9.6,4.8,8.0,32.31,82.8
77.1,2.1,20.0,0.4,7.1,14.97,72.9
76.7,1.7,11.6,1.3,4.7,23.69,74.4
100.1,1.8,0.1,4.6,6.9,36.56,100.1
76.7,1.4,1.2,1.7,4.8,15.71,76.8
76.6,1.4,20.6,0.3,6.8,20.53,73.0
98.1,2.2,11.6,3.1,8.1,22.5,96.1
92.7,3.5,8.0,1.3,4.7,18.72,91.8
79.8,1.8,18.0,1.7,6.1,33.02,76.2
76.2,1.4,6.5,2.8,7.3,27.79,75.8
90.2,0.2,11.0,3.6,8.5,25.79,86.1
81.5,1.7,16.6,3.9,4.3,18.65,76.9
79.2,3.4,17.5,3.8,9.0,21.34,74.9
75.8,1.8,4.1,3.5,6.8,32.57,74.3
75.6,3.4,5.0,4.2,11.3,26.68,73.7
77.4,1.6,2.3,0.1,12.7,17.37,77.3
78.9,2.9,11.0,0.8,6.1,25.25,77.8
77.2,2.9,21.9,0.6,4.7,36.36,75.6
89.4,1.5,18.7,4.5,11.8,32.24,84.0
77.3,1.6,14.7,0.3,10.6,30.2,74.4
77.7,1.9,1.4,4.5,3.4,43.12,76.3
88.0,3.2,1.9,4.7,5.6,27.88,88.7
73.5,1.7,20.1,3.0,5.2,47.13,63.4
74.9,4.2,0.2,0.4,10.4,34.02,75.0
98.0,2.7,17.3,0.5,6.5,42.43,92.5
86.0,0.8,21.6,4.3,8.7,34.14,79.0
91.8,4.7,15.1,0.6,10.1,35.94,92.6
68.9,3.4,6.1,2.6,8.0,22.52,68.4
81.7,1.4,16.8,4.8,3.6,41.51,77.3
91.7,0.9,7.5,1.2,7.0,22.35,90.2
78.7,1.7,8.9,0.4,4.8,32.24,75.3
69.5,4.0,0.6,0.7,7.9,18.81,71.1
76.3,1.5,16.6,0.5,7.1,18.98,72.3
78.3,1.7,0.2,1.0,6.2,39.74,77.7
86.3,2.3,19.1,0.9,10.4,19.4,81.1
82.2,2.8,6.9,5.3,4.4,22.51,81.0
84.3,1.3,9.6,5.3,7.1,30.67,80.8
73.3,1.7,19.4,4.6,7.1,40.68,62.7
80.0,5.4,5.0,1.5,5.6,23.99,81.8
79.5,2.4,3.4,5.4,3.2,15.48,80.6
74.1,1.4,18.7,0.9,8.0,22.42,70.5
88.7,1.8,4.5,0.3,13.3,24.24,87.7
86.8,2.0,12.4,3.9,5.1,25.22,84.3
76.7,3.1,9.6,3.5,10.5,36.3,73.9
84.5,3.2,13.8,0.8,6.8,17.67,83.2
80.4,1.5,1.1,0.5,5.8,15.06,80.2
81.8,3.0,3.7,5.0,9.2,33.4,81.6
75.5,1.3,7.6,0.3,2.3,33.48,73.7
91.4,1.3,14.1,4.3,6.7,27.61,88.0
93.7,2.6,18.4,5.1,6.3,17.5,89.6
86.2,3.6,1.0,4.1,3.2,25.12,86.9
82.6,1.7,10.1,2.7,2.3,25.68,81.0
71.6,5.3,12.7,3.6,3.7,30.29,72.2
75.9,2.0,16.1,4.2,8.2,18.87,70.8
93.2,4.7,12.8,0.7,7.0,42.34,89.8
86.0,3.3,20.2,0.4,6.2,42.71,79.9
83.8,1.8,0.1,1.1,3.2,14.47,84.0
84.3,3.5,18.6,1.0,4.5,37.68,79.2
90.5,2.1,11.8,0.9,0.8,20.44,86.5
75.7,2.5,17.9,0.8,6.2,14.75,71.9
92.1,1.6,21.6,0.2,8.7,22.6,85.6
73.0,2.6,10.7,0.1,7.0,22.72,71.1
77.0,2.6,21.6,0.2,4.4,43.32,72.5
81.1,1.9,0.2,5.0,8.9,18.01,81.0
92.6,2.3,12.2,3.5,11.9,26.91,90.0
85.5,0.5,20.7,3.8,2.4,17.08,77.4
80.0,2.4,15.3,0.9,9.1,34.85,77.0
84.6,2.3,19.9,0.5,7.7,17.82,80.0
76.2,1.8,17.5,0.4,6.0,19.3,72.6
84.0,1.9,13.0,5.3,8.3,18.91,79.4
85.3,0.7,9.9,0.9,12.2,32.6,82.2
77.2,3.3,19.0,1.7,9.1,34.78,72.5
65.3,1.0,7.4,2.3,4.5,13.99,62.9
80.1,2.5,15.4,4.2,5.7,21.21,75.5
83.7,1.8,6.3,4.2,2.8,31.05,82.6
84.8,4.6,11.3,0.4,7.2,32.37,83.3
92.7,1.8,0.0,0.8,4.0,40.03,92.0
79.8,2.3,5.4,0.7,9.7,50.2,75.8
75.9,2.1,3.0,0.4,2.6,19.75,77.2
85.0,3.1,18.1,0.2,3.6,32.7,82.4
91.5,3.7,14.1,3.2,3.1,34.19,89.6
86.1,3.9,0.9,0.2,3.1,20.02,88.7
77.3,2.1,8.2,0.9,9.0,30.82,74.7
81.3,2.3,13.2,1.7,11.8,16.46,78.8
83.5,4.2,4.5,0.7,2.3,20.36,85.6
83.6,1.8,0.4,1.0,9.3,26.8,84.2
78.8,3.7,16.8,5.3,2.3,28.81,73.6
81.1,0.5,9.8,4.1,2.9,16.78,78.3
78.0,3.1,4.4,3.7,12.2,21.3,78.6
67.1,1.5,12.2,0.7,5.7,30.16,64.2
78.6,3.6,4.5,0.4,2.8,16.51,79.3
85.5,1.9,11.3,1.5,8.3,34.28,81.6
83.2,2.8,15.3,0.4,1.2,20.15,80.2
91.0,1.0,13.9,4.9,8.8,18.9,86.9
78.2,2.1,12.5,2.4,8.6,25.69,76.3
77.3,4.5,0.1,1.0,5.4,36.09,79.5
78.7,2.3,16.4,0.7,7.0,16.91,75.6
98.5,0.8,0.1,4.6,8.0,29.96,95.8
79.3,4.5,7.6,3.9,9.1,16.94,78.5
72.4,1.4,19.5,1.7,7.9,45.43,65.3
80.8,1.1,15.8,1.6,4.5,32.63,77.0
77.8,0.7,17.7,0.3,10.0,39.72,72.1
91.1,2.7,1.4,2.2,5.9,23.3,92.2
75.0,1.5,10.5,4.2,3.9,34.57,71.9
79.3,2.9,17.9,4.0,3.7,21.29,72.8
76.3,1.4,17.1,0.5,11.6,18.76,73.1
75.3,2.8,8.5,2.9,7.8,26.72,73.5
68.2,2.4,0.8,0.4,5.1,22.92,69.6
87.7,2.6,9.6,2.0,9.3,24.74,85.8
64.2,1.8,2.6,5.1,4.1,33.66,62.8
75.3,3.4,5.9,1.0,3.6,26.02,75.6
74.0,1.4,7.4,2.4,5.6,21.59,72.3
80.7,4.3,5.8,4.3,4.8,46.71,78.8
81.8,2.9,20.6,0.3,4.2,16.56,78.2
81.8,2.4,13.3,4.4,3.5,36.2,77.2
81.7,2.3,11.7,2.9,5.6,23.33,78.7
80.1,3.1,13.9,0.8,10.4,35.92,77.8
81.7,1.6,7.6,2.4,8.7,28.81,79.2
86.5,1.3,0.1,2.8,2.5,28.93,87.2
96.3,1.1,18.1,0.5,7.6,24.25,91.9
83.1,4.5,0.9,5.6,4.1,35.4,83.8
73.1,3.1,16.4,5.2,6.6,27.7,68.1
78.8,4.4,1.2,5.2,3.1,19.99,81.6
82.2,3.4,14.8,0.6,8.0,25.28,81.2
91.3,1.5,2.0,1.1,11.2,26.86,90.8
75.9,2.4,17.6,0.6,11.2,28.8,71.5
81.8,1.2,9.4,5.6,3.1,47.71,76.8
80.2,1.2,4.5,2.1,5.9,19.02,79.1
74.9,2.5,19.3,1.5,9.0,25.38,71.5
94.7,3.7,3.3,3.1,7.8,16.53,95.4
72.2,1.5,10.6,5.4,6.3,26.37,69.1
84.1,2.0,0.2,1.1,2.2,18.04,85.6
81.0,2.7,19.8,0.7,8.4,19.78,76.9
91.9,3.0,2.4,3.9,3.2,27.89,92.2
89.4,1.9,5.1,3.7,6.4,45.21,86.3
83.8,2.3,4.3,1.1,8.4,25.05,83.5
80.3,2.0,13.0,0.2,3.1,30.2,77.0
75.3,1.7,20.7,0.4,3.6,31.71,69.4
72.3,4.1,12.0,3.2,6.2,22.66,73.1
84.2,2.2,0.5,1.9,7.6,26.52,84.3
94.1,2.7,4.5,0.5,7.6,33.5,93.2
72.5,4.5,17.1,0.8,3.5,24.22,71.5
96.6,2.6,16.9,3.9,8.0,30.88,92.6
78.2,1.1,5.9,0.5,1.8,36.71,76.2
76.5,1.0,17.5,0.8,3.0,18.05,71.5
74.3,2.2,9.7,1.4,4.0,17.72,72.9
85.7,1.9,9.0,3.5,3.2,44.0,82.0
81.1,0.9,7.4,4.2,7.8,23.03,79.3
67.4,1.5,10.2,5.2,1.6,37.81,61.2
86.7,3.6,6.6,2.5,8.2,30.69,85.0
81.2,1.9,11.2,1.7,3.4,28.7,78.9
78.7,2.8,17.7,0.1,6.3,19.23,75.9
88.0,2.1,19.8,0.8,6.9,22.35,81.6
84.6,1.4,6.9,5.7,8.3,30.02,80.8
80.5,1.7,2.2,0.8,8.4,15.49,80.2
82.0,3.2,16.6,3.5,2.5,35.06,79.0
80.2,2.3,7.5,0.6,5.5,31.19,78.7
77.6,1.3,3.8,4.4,7.1,23.11,75.7
81.3,0.5,2.4,5.3,5.2,31.48,78.5
75.8,2.8,2.0,4.9,3.8,26.68,76.7
81.5,2.6,18.1,0.1,4.5,20.15,78.3
66.8,2.8,1.5,5.1,5.0,27.86,68.2
91.7,2.1,22.1,3.6,3.1,36.23,85.3
81.7,0.2,14.6,2.1,7.5,32.39,77.0
72.3,1.2,4.3,1.1,8.8,17.7,71.5
75.2,3.1,2.5,4.3,8.7,14.19,76.6
101.6,2.6,18.5,1.3,2.9,34.47,97.6
83.9,3.3,6.8,0.0,9.2,22.69,84.3
100.5,1.8,16.0,1.0,5.7,32.54,97.6
69.1,1.1,2.1,2.8,5.4,31.03,67.7
82.6,3.6,19.9,0.4,6.2,30.22,78.3
75.1,2.0,4.5,1.9,9.0,31.0,73.8
91.9,1.3,7.9,3.7,4.1,22.8,88.3
90.3,2.2,2.0,3.4,2.3,47.76,87.9
81.9,0.4,11.7,1.0,3.3,16.48,78.5
84.8,0.8,4.4,4.6,4.2,44.29,81.0
97.1,3.1,7.8,2.2,6.4,28.96,96.5
86.7,1.1,17.4,5.4,3.8,18.94,78.9
78.7,2.1,14.2,1.4,7.9,16.7,76.2
90.8,1.0,5.2,4.3,4.5,25.17,87.9
66.4,1.1,4.5,4.4,4.2,28.11,64.3
80.1,2.8,19.0,1.1,8.6,44.02,74.5
81.6,1.7,9.4,0.4,5.7,17.98,80.6
83.0,1.1,17.7,0.4,5.2,14.69,78.6
73.0,2.1,3.8,0.1,10.1,38.34,71.8
75.2,3.8,17.6,0.3,5.7,21.71,75.9
80.1,4.0,12.9,0.2,6.8,27.0,78.5
74.8,1.8,16.6,1.6,3.3,34.57,70.6
98.0,3.7,12.7,0.7,4.0,26.94,97.9
77.9,2.1,4.0,4.3,3.8,30.84,77.9
67.9,2.9,20.6,0.5,5.6,24.81,62.1
91.1,2.3,6.4,5.5,9.4,24.25,89.0
81.6,4.9,18.2,3.2,8.7,26.2,81.7
83.4,3.3,21.6,2.9,6.4,23.14,80.4
79.0,2.1,1.1,0.4,3.3,14.41,79.8
85.8,5.3,14.7,2.2,3.9,44.16,83.8
74.5,2.7,4.5,4.4,2.8,24.64,74.5
75.4,3.9,19.5,0.5,9.7,31.45,71.6
91.0,1.7,0.5,0.7,9.5,38.61,90.0
76.8,4.1,12.2,4.6,6.8,26.32,75.9
83.5,1.7,14.4,5.0,5.4,37.78,78.5
92.5,1.9,18.8,0.8,4.2,19.66,88.8
81.8,0.4,17.6,1.2,9.3,31.91,78.5
95.4,0.9,10.5,0.6,6.0,28.73,93.2
83.9,4.1,14.4,4.7,2.6,20.12,81.8
75.1,1.0,5.3,0.3,3.8,45.75,71.6
79.4,1.2,16.2,2.1,4.1,22.68,72.7
92.7,3.3,2.8,0.2,5.0,25.66,93.4
82.8,2.1,17.5,4.7,6.0,25.57,77.5
90.8,3.3,6.7,1.5,4.0,25.53,90.8
83.5,3.4,0.7,2.2,4.6,15.1,85.0
89.6,2.7,10.6,4.8,10.1,27.67,87.2
74.3,1.7,4.3,5.2,2.0,26.34,72.8
72.7,1.6,2.4,0.8,9.8,27.4,72.3
87.1,1.1,8.3,3.6,2.0,28.57,85.6
72.4,3.2,0.9,0.5,10.0,24.99,74.0
94.3,1.9,14.8,5.0,10.8,29.25,87.9
86.6,1.9,3.1,4.1,4.6,15.07,86.5
89.6,3.5,16.7,1.3,8.7,29.51,87.1
83.8,5.3,14.9,5.0,2.4,17.88,81.6
79.1,3.9,16.2,0.9,9.5,24.87,76.5
89.8,2.6,14.0,0.6,7.4,14.74,89.0
83.8,3.0,1.4,5.6,9.0,39.67,81.0
76.5,3.7,9.5,1.0,9.4,13.12,75.3
83.0,2.4,4.9,5.7,8.3,42.58,80.2
88.3,2.4,0.3,2.1,3.7,23.09,89.9
102.2,1.3,5.1,3.5,6.3,18.44,101.6
82.9,1.4,6.2,0.7,2.6,18.19,81.4
80.6,5.2,20.2,0.3,4.0,29.79,78.9
68.2,3.2,3.9,3.2,10.7,24.61,66.9
88.0,4.2,9.5,0.4,6.9,22.31,88.1
88.5,3.6,17.4,1.9,13.6,39.72,84.1
93.3,3.6,0.7,2.4,6.1,38.52,92.6
78.4,2.8,13.3,4.5,4.8,37.43,75.9
78.9,3.4,0.9,3.5,9.3,20.57,81.0
91.4,1.8,18.5,0.3,2.7,17.41,86.8
82.7,2.8,0.4,0.7,9.3,24.05,84.1
84.4,1.9,2.6,3.9,7.1,25.44,84.2
79.5,0.7,2.7,1.3,5.8,27.24,78.2
89.2,2.6,14.2,2.0,11.6,39.42,84.5
76.1,0.2,12.7,2.8,8.4,41.29,69.9
93.0,0.8,3.2,0.3,4.4,25.05,92.4
73.1,2.3,5.8,1.2,2.7,27.94,72.3
77.2,0.5,4.7,1.3,3.8,20.56,76.0
83.2,1.6,17.6,1.2,7.8,30.43,78.4
93.1,0.6,4.4,0.4,2.1,28.71,91.7
78.3,5.1,14.9,0.4,2.8,24.16,79.6
84.0,5.4,4.3,1.3,2.3,28.63,87.7
86.8,3.7,18.0,1.1,6.4,42.94,84.2
86.3,1.6,2.9,0.4,3.0,21.36,86.4
93.0,3.6,15.0,0.4,6.6,35.04,91.8
82.4,1.4,7.7,0.5,2.0,20.82,81.7
74.5,4.0,14.0,4.4,3.7,16.4,71.1
87.1,1.7,15.3,0.3,1.8,39.05,84.0
91.4,4.2,18.0,4.0,5.5,23.15,89.2
87.2,1.0,7.7,4.7,4.2,39.42,83.6
80.3,2.6,16.7,1.2,7.7,31.2,75.7
72.7,4.7,21.7,3.0,8.7,21.96,71.7
69.7,2.8,0.2,0.6,5.3,21.39,72.1
75.2,4.8,16.4,5.2,7.1,13.57,74.3
77.3,3.5,21.5,1.5,3.1,50.02,73.3
84.2,0.5,0.0,0.4,3.8,28.02,84.0
85.0,2.1,8.4,4.3,8.5,18.3,82.9
77.8,2.1,20.3,2.3,10.7,24.34,72.4
79.2,3.4,17.2,0.9,10.8,27.93,76.3
76.9,3.5,20.1,3.9,9.9,16.0,73.6
82.3,0.5,2.9,4.0,13.5,25.06,80.3
81.9,3.7,18.9,5.6,3.5,36.48,77.3
92.9,3.4,0.4,0.3,5.5,32.23,95.5
72.9,0.5,4.2,3.4,3.9,28.06,71.7
93.5,2.1,21.8,4.1,5.8,29.29,90.0
86.0,5.4,16.5,5.0,8.2,31.37,82.6
82.0,3.2,6.1,0.4,9.5,38.58,80.3
77.6,2.8,16.1,0.7,4.1,40.03,77.7
100.0,3.9,10.4,2.2,2.5,18.16,101.2
81.7,3.4,20.0,3.3,7.5,14.23,76.0
90.1,4.1,6.1,5.4,7.6,25.15,90.2
94.2,1.7,8.0,1.0,2.1,43.79,91.8
87.4,2.3,12.3,0.4,4.5,22.98,84.8
78.2,1.8,17.8,2.2,13.8,29.07,72.6
89.5,2.6,6.2,4.8,2.1,46.51,86.8
72.7,4.6,20.1,0.4,3.5,18.86,69.9
87.8,4.0,0.2,0.8,8.8,17.94,89.1
92.7,1.1,4.2,5.1,5.8,33.96,89.8
83.8,1.3,18.8,0.6,1.1,25.27,78.6
77.2,1.7,6.3,0.6,11.0,20.61,77.6
81.8,3.5,13.0,0.6,5.9,40.06,79.6
80.2,1.3,3.8,0.2,6.8,18.79,79.7
90.9,3.4,17.2,5.3,5.5,26.05,85.7
83.6,2.5,4.5,0.6,4.9,19.01,83.9
78.8,2.0,1.4,0.6,5.2,13.81,79.4
83.3,0.8,0.9,0.6,6.0,38.28,82.5
84.8,3.3,8.4,1.2,3.4,23.64,86.0
74.3,4.5,13.8,0.3,6.4,49.15,67.6
68.6,2.5,4.5,4.3,7.3,25.2,67.8
90.9,2.0,20.7,0.5,7.6,29.5,86.4
84.5,3.9,9.8,4.3,6.7,26.4,83.6
89.1,2.0,0.1,3.7,4.1,25.27,88.9
74.5,2.6,0.2,1.3,4.6,22.19,75.3
72.4,5.3,11.8,0.7,7.1,40.21,72.0
91.6,2.9,2.3,0.9,5.8,22.04,92.8
67.1,2.8,2.6,3.6,9.0,29.6,66.6
89.8,0.2,19.1,4.8,6.1,34.06,80.8
82.7,1.8,0.2,3.5,2.6,29.28,82.9
83.2,1.6,17.3,3.4,8.6,26.93,81.6
88.3,3.8,16.3,1.9,5.9,22.8,85.2
97.2,1.4,0.8,0.9,2.6,21.99,97.6
79.0,2.7,18.9,2.0,4.2,26.14,74.2
78.3,1.6,19.4,3.7,4.2,35.81,74.0
79.5,0.7,3.9,0.3,8.2,29.37,78.8
78.9,3.2,0.2,0.2,3.7,34.56,79.9
83.1,1.8,9.4,4.2,6.2,24.21,81.8
85.5,0.1,10.5,4.6,8.1,25.85,81.7
73.8,2.8,17.4,0.3,5.1,26.1,72.8
85.3,2.3,1.4,0.6,4.4,20.85,86.5
97.2,4.8,0.8,0.7,7.0,27.37,98.7
79.6,1.8,0.1,4.8,8.4,31.13,79.2
80.3,1.9,13.1,3.8,1.1,24.99,76.4
90.7,2.4,1.6,5.9,5.4,25.03,91.1
85.9,1.5,0.1,5.2,7.4,33.99,84.9
83.4,3.2,18.2,0.1,3.8,23.03,79.0
71.7,2.2,11.4,0.5,8.9,12.23,70.0
77.4,1.3,17.4,0.7,6.4,31.47,71.6
93.4,1.4,2.0,1.0,4.5,35.29,92.6
79.7,3.2,8.6,0.2,3.6,23.74,79.6
79.2,3.4,6.5,4.8,4.4,21.3,78.4
82.0,1.5,1.5,1.9,7.2,39.93,80.2
93.2,2.1,1.6,2.1,6.7,19.37,93.3
92.6,1.8,6.1,4.5,5.4,30.51,89.6
73.9,1.6,6.8,4.0,10.4,22.09,71.9
84.1,1.8,16.6,2.6,4.3,26.51,79.4
76.5,4.6,17.1,0.9,8.2,33.13,77.8
89.9,3.8,5.5,0.7,10.2,18.19,90.1
80.3,1.1,5.0,0.5,5.9,41.18,78.1
74.2,2.9,10.4,0.5,5.7,34.38,72.9
84.5,2.3,17.1,1.6,10.5,20.47,80.0
71.2,1.0,4.4,0.1,3.5,14.0,70.2
91.9,3.1,17.0,4.6,2.6,23.78,84.8
84.8,2.6,22.1,1.8,4.3,32.67,81.4
67.5,4.5,0.3,4.2,12.9,22.01,69.7
72.0,2.5,15.2,1.2,2.7,34.0,69.4
78.2,2.4,15.4,0.8,6.6,36.11,72.5
81.7,2.2,16.9,4.7,11.0,22.22,78.6
70.2,3.7,15.6,1.2,8.4,19.01,65.9
84.4,1.7,9.7,0.6,7.1,48.16,78.7
84.8,1.4,1.7,1.7,4.2,27.5,84.6
77.9,1.8,12.5,4.2,5.2,38.35,74.6
82.6,1.7,1.0,0.6,9.0,27.57,83.2
82.8,2.0,10.7,1.0,11.3,32.99,80.1
80.4,1.7,7.7,2.8,4.8,31.7,77.8
75.2,0.2,16.9,4.2,6.4,21.2,69.9
85.9,1.5,21.7,0.1,3.4,18.67,81.5
64.9,1.5,13.8,5.9,7.0,20.19,61.1
77.3,1.7,14.3,4.0,9.7,35.21,71.5
91.7,1.4,0.1,0.8,6.4,32.07,91.4
101.8,4.5,0.1,4.0,12.6,14.76,103.2
83.5,1.2,16.1,1.4,11.2,21.87,80.3
79.4,1.9,0.2,0.7,1.7,27.5,80.1
86.9,2.1,2.8,1.2,1.6,43.31,85.0
73.3,1.7,21.1,5.2,3.7,32.97,67.1
64.1,0.5,14.3,3.2,3.5,21.0,60.5
85.3,4.2,6.9,2.4,9.5,25.28,88.3
89.9,3.4,19.7,0.4,8.4,19.32,87.2
88.5,1.8,0.0,5.1,9.4,24.93,87.9
82.7,1.7,0.6,4.7,6.5,26.74,81.9
88.4,3.2,11.8,0.6,2.4,20.96,86.9
80.6,2.7,1.1,1.5,8.4,57.03,77.2
76.5,1.3,0.1,3.8,8.6,18.96,75.9
90.1,1.5,18.6,0.8,1.3,32.52,87.5
96.0,2.5,0.2,3.7,0.9,38.66,96.8
79.4,3.2,20.8,0.1,5.3,22.04,72.5
79.2,2.2,3.0,0.5,6.7,21.08,80.7
82.1,2.2,5.8,0.9,6.2,18.24,81.6
83.7,1.3,13.7,0.6,4.1,18.01,80.5
93.1,3.9,4.0,0.8,9.0,31.89,93.4
79.6,2.8,1.4,0.2,4.5,18.71,81.6
81.9,1.1,21.6,1.4,7.0,14.16,77.2
85.0,2.0,0.8,0.4,6.8,37.81,84.0
86.6,3.4,7.7,0.8,6.5,23.49,86.2
78.9,2.0,21.1,0.7,6.4,35.12,73.4
81.1,4.3,4.4,1.8,3.8,34.88,83.4
96.0,1.5,0.4,1.9,5.2,18.47,95.9
79.0,2.3,17.2,0.3,5.3,24.48,76.3
75.3,1.7,17.8,0.4,7.3,18.25,72.7
84.6,1.1,2.3,0.5,6.8,26.67,83.6
78.5,1.8,5.3,2.2,5.8,30.86,76.8
69.0,4.7,15.5,0.2,3.8,32.9,70.6
75.0,3.0,1.0,2.3,1.3,26.34,77.4
80.0,0.7,9.1,0.8,10.5,28.14,77.3
84.5,1.7,9.7,0.7,8.9,30.8,82.3
81.4,3.9,6.0,1.9,6.4,33.36,82.1
89.1,2.3,17.3,0.7,2.3,14.9,85.9
81.3,4.2,15.2,4.4,9.1,32.91,78.7
87.3,1.5,14.3,5.5,11.8,29.66,80.2
80.0,2.5,0.7,3.7,1.7,20.04,80.7
80.5,1.7,0.1,1.5,10.5,23.55,80.7
86.7,3.3,17.9,1.1,5.8,16.07,82.2
81.4,2.2,14.3,0.9,5.9,13.58,78.8
64.6,2.5,1.1,0.8,3.3,17.49,66.1
