genetic,length,mass,exercise,smoking,alcohol,sugar,bmi,lifespan
83.0,195.0,86.0,1.0,22.0,8.0,2,22.62,62
83.0,167.0,65.0,1.0,5.0,3.0,1,23.31,80
83.0,186.0,71.0,3.0,7.0,8.0,3,20.52,90
83.0,172.0,64.0,1.0,12.0,9.0,1,21.63,71
83.0,165.0,88.0,2.0,8.0,9.0,3,32.32,75
83.0,186.0,75.0,1.0,18.0,1.0,2,21.68,72
83.0,184.0,79.0,3.0,15.0,7.0,3,23.33,87
83.0,163.0,108.0,1.0,10.0,7.0,2,40.65,63
83.0,193.0,94.0,1.0,11.0,5.0,1,25.24,78
83.0,176.0,90.0,2.0,13.0,7.0,1,29.05,81
83.0,180.0,78.0,3.0,5.0,9.0,3,24.07,90
83.0,192.0,62.0,2.0,3.0,3.0,2,16.82,92
83.0,201.0,75.0,3.0,15.0,1.0,2,18.56,94
83.0,185.0,60.0,2.0,1.0,3.0,2,17.53,95
83.0,175.0,62.0,2.0,1.0,9.0,2,20.24,88
83.0,195.0,81.0,1.0,18.0,5.0,2,21.3,70
83.0,196.0,83.0,2.0,0.0,7.0,4,21.61,82
83.0,198.0,77.0,1.0,0.0,7.0,4,19.64,75
83.0,206.0,89.0,1.0,4.0,1.0,3,20.97,86
83.0,178.0,69.0,1.0,14.0,6.0,2,21.78,75
83.0,198.0,76.0,1.0,10.0,9.0,2,19.39,70
83.0,196.0,90.0,1.0,0.0,2.0,4,23.43,84
83.0,207.0,70.0,1.0,1.0,8.0,3,16.34,80
83.0,177.0,78.0,1.0,22.0,0.0,3,24.9,68
83.0,181.0,70.0,0.0,1.0,7.0,2,21.37,74
83.0,169.0,85.0,1.0,17.0,4.0,3,29.76,65
83.0,196.0,100.0,2.0,19.0,8.0,1,26.03,74
83.0,173.0,73.0,3.0,5.0,3.0,2,24.39,104
83.0,161.0,60.0,1.0,18.0,6.0,2,23.15,63
83.0,179.0,112.0,1.0,18.0,5.0,3,34.96,61
83.0,165.0,96.0,1.0,7.0,8.0,2,35.26,70
83.0,197.0,66.0,1.0,3.0,9.0,3,17.01,78
83.0,181.0,73.0,2.0,15.0,5.0,3,22.28,76
83.0,198.0,76.0,1.0,1.0,9.0,3,19.39,73
83.0,172.0,82.0,3.0,21.0,8.0,1,27.72,84
83.0,204.0,63.0,3.0,4.0,8.0,3,15.14,94
83.0,205.0,74.0,1.0,4.0,7.0,1,17.61,85
83.0,184.0,72.0,1.0,13.0,9.0,3,21.27,68
83.0,187.0,64.0,1.0,22.0,7.0,3,18.3,64
83.0,202.0,76.0,2.0,11.0,3.0,1,18.63,89
83.0,193.0,86.0,2.0,0.0,3.0,4,23.09,87
83.0,164.0,89.0,2.0,0.0,5.0,1,33.09,91
83.0,177.0,87.0,3.0,1.0,4.0,3,27.77,93
83.0,193.0,85.0,1.0,13.0,6.0,2,22.82,75
83.0,195.0,88.0,3.0,5.0,5.0,2,23.14,100
83.0,197.0,82.0,1.0,19.0,8.0,3,21.13,66
83.0,199.0,81.0,1.0,14.0,7.0,4,20.45,69
83.0,175.0,72.0,2.0,0.0,0.0,1,23.51,99
83.0,199.0,91.0,1.0,1.0,3.0,3,22.98,78
83.0,172.0,74.0,2.0,0.0,9.0,2,25.01,90
83.0,190.0,61.0,2.0,0.0,6.0,2,16.9,97
83.0,183.0,73.0,1.0,12.0,5.0,3,21.8,69
83.0,193.0,67.0,2.0,6.0,8.0,1,17.99,86
83.0,198.0,75.0,2.0,4.0,4.0,2,19.13,94
83.0,189.0,93.0,2.0,1.0,3.0,2,26.04,89
83.0,182.0,93.0,1.0,12.0,6.0,2,28.08,70
83.0,179.0,67.0,2.0,13.0,10.0,3,20.91,74
83.0,164.0,85.0,1.0,12.0,4.0,1,31.6,72
83.0,178.0,92.0,1.0,5.0,9.0,4,29.04,66
83.0,186.0,67.0,3.0,0.0,9.0,3,19.37,102
83.0,205.0,61.0,1.0,13.0,6.0,2,14.52,78
83.0,173.0,63.0,1.0,12.0,9.0,3,21.05,69
83.0,180.0,72.0,2.0,4.0,5.0,1,22.22,90
83.0,182.0,68.0,3.0,0.0,6.0,2,20.53,104
83.0,179.0,62.0,1.0,4.0,9.0,2,19.35,78
83.0,201.0,112.0,1.0,20.0,3.0,4,27.72,61
83.0,192.0,67.0,2.0,20.0,7.0,1,18.17,83
83.0,191.0,92.0,2.0,17.0,5.0,1,25.22,81
83.0,187.0,100.0,1.0,20.0,8.0,3,28.6,59
83.0,207.0,70.0,2.0,4.0,7.0,1,16.34,96
83.0,183.0,90.0,3.0,16.0,6.0,1,26.87,84
83.0,170.0,73.0,1.0,2.0,2.0,2,25.26,83
83.0,176.0,100.0,0.0,12.0,6.0,2,32.28,61
83.0,176.0,89.0,1.0,17.0,2.0,4,28.73,61
83.0,191.0,82.0,1.0,3.0,7.0,2,22.48,77
83.0,194.0,77.0,3.0,18.0,1.0,4,20.46,88
83.0,188.0,66.0,1.0,5.0,7.0,3,18.67,74
83.0,157.0,83.0,2.0,2.0,8.0,4,33.67,77
83.0,176.0,83.0,1.0,21.0,5.0,2,26.79,65
83.0,178.0,69.0,2.0,8.0,5.0,3,21.78,85
83.0,178.0,85.0,1.0,21.0,6.0,3,26.83,59
83.0,196.0,100.0,1.0,11.0,6.0,5,26.03,66
83.0,194.0,69.0,2.0,9.0,0.0,4,18.33,85
83.0,177.0,97.0,2.0,18.0,5.0,2,30.96,78
83.0,201.0,66.0,2.0,4.0,8.0,3,16.34,88
83.0,192.0,83.0,2.0,4.0,6.0,4,22.52,85
83.0,184.0,69.0,3.0,0.0,7.0,2,20.38,99
83.0,189.0,63.0,0.0,13.0,9.0,2,17.64,66
83.0,166.0,80.0,1.0,4.0,0.0,4,29.03,74
83.0,165.0,80.0,2.0,20.0,8.0,1,29.38,71
83.0,194.0,71.0,1.0,9.0,9.0,2,18.86,78
83.0,194.0,99.0,1.0,9.0,5.0,4,26.3,71
83.0,194.0,82.0,1.0,6.0,2.0,2,21.79,80
83.0,197.0,79.0,3.0,7.0,7.0,2,20.36,94
83.0,214.0,89.0,1.0,11.0,4.0,2,19.43,80
83.0,166.0,71.0,2.0,1.0,7.0,3,25.77,82
83.0,199.0,63.0,1.0,10.0,7.0,2,15.91,77
83.0,167.0,95.0,1.0,1.0,1.0,2,34.06,80
83.0,192.0,68.0,3.0,7.0,8.0,3,18.45,92
83.0,184.0,94.0,2.0,16.0,9.0,3,27.76,74
82.0,195.0,87.0,1.0,1.0,1.0,2,22.88,84
82.0,178.0,69.0,2.0,11.0,9.0,2,21.78,78
82.0,176.0,69.0,1.0,0.0,6.0,2,22.28,81
82.0,209.0,90.0,1.0,17.0,6.0,3,20.6,68
82.0,169.0,94.0,1.0,20.0,3.0,1,32.91,66
82.0,182.0,108.0,1.0,18.0,3.0,3,32.6,62
82.0,175.0,76.0,1.0,22.0,7.0,1,24.82,60
82.0,165.0,65.0,1.0,21.0,5.0,3,23.88,66
82.0,188.0,77.0,1.0,21.0,4.0,1,21.79,67
82.0,194.0,64.0,3.0,22.0,3.0,1,17.0,90
82.0,184.0,72.0,4.0,6.0,7.0,1,21.27,106
82.0,172.0,60.0,1.0,9.0,7.0,4,20.28,71
82.0,196.0,81.0,1.0,21.0,2.0,2,21.08,70
82.0,194.0,78.0,1.0,7.0,9.0,2,20.72,75
82.0,160.0,102.0,2.0,8.0,5.0,2,39.84,80
82.0,196.0,72.0,1.0,5.0,8.0,3,18.74,76
82.0,174.0,90.0,3.0,2.0,0.0,3,29.73,102
82.0,194.0,75.0,0.0,10.0,6.0,2,19.93,68
82.0,184.0,92.0,1.0,21.0,9.0,2,27.17,57
82.0,174.0,74.0,2.0,5.0,5.0,3,24.44,80
82.0,177.0,101.0,1.0,2.0,6.0,3,32.24,77
82.0,172.0,88.0,1.0,13.0,8.0,2,29.75,63
82.0,163.0,75.0,2.0,22.0,8.0,3,28.23,64
82.0,179.0,84.0,1.0,6.0,0.0,2,26.22,78
82.0,185.0,70.0,2.0,19.0,1.0,1,20.45,81
82.0,167.0,74.0,1.0,12.0,7.0,1,26.53,71
82.0,176.0,76.0,0.0,1.0,9.0,2,24.54,71
82.0,184.0,67.0,3.0,20.0,4.0,4,19.79,79
82.0,186.0,84.0,2.0,7.0,5.0,3,24.28,77
82.0,185.0,88.0,2.0,6.0,7.0,2,25.71,83
82.0,169.0,77.0,1.0,5.0,5.0,2,26.96,73
82.0,183.0,97.0,2.0,18.0,4.0,2,28.96,75
82.0,188.0,88.0,2.0,11.0,9.0,2,24.9,80
82.0,177.0,84.0,3.0,3.0,7.0,3,26.81,87
82.0,177.0,62.0,3.0,12.0,9.0,3,19.79,89
82.0,178.0,70.0,2.0,19.0,1.0,1,22.09,86
82.0,171.0,88.0,3.0,11.0,9.0,1,30.09,85
82.0,200.0,110.0,2.0,8.0,9.0,1,27.5,80
82.0,170.0,89.0,2.0,12.0,1.0,3,30.8,80
82.0,182.0,73.0,2.0,10.0,8.0,1,22.04,83
82.0,177.0,69.0,1.0,9.0,6.0,2,22.02,78
82.0,208.0,76.0,2.0,5.0,8.0,2,17.57,91
82.0,189.0,86.0,1.0,13.0,7.0,3,24.08,67
82.0,175.0,71.0,2.0,5.0,0.0,1,23.18,94
82.0,185.0,92.0,1.0,1.0,9.0,1,26.88,74
82.0,163.0,73.0,1.0,13.0,3.0,2,27.48,64
82.0,178.0,64.0,1.0,6.0,9.0,2,20.2,82
82.0,168.0,93.0,1.0,22.0,2.0,1,32.95,69
82.0,189.0,96.0,3.0,18.0,4.0,1,26.87,86
82.0,197.0,88.0,3.0,16.0,8.0,3,22.68,80
82.0,172.0,94.0,3.0,13.0,4.0,1,31.77,94
82.0,180.0,74.0,3.0,13.0,4.0,3,22.84,90
82.0,188.0,65.0,1.0,0.0,2.0,5,18.39,77
82.0,199.0,71.0,1.0,15.0,8.0,2,17.93,75
82.0,177.0,105.0,1.0,17.0,8.0,2,33.52,60
82.0,172.0,71.0,2.0,15.0,9.0,3,24.0,74
82.0,200.0,74.0,2.0,4.0,8.0,2,18.5,87
82.0,205.0,69.0,1.0,1.0,8.0,4,16.42,75
82.0,190.0,66.0,2.0,19.0,4.0,3,18.28,81
82.0,174.0,79.0,2.0,3.0,6.0,4,26.09,76
82.0,178.0,66.0,2.0,2.0,9.0,2,20.83,83
82.0,165.0,97.0,1.0,11.0,8.0,4,35.63,57
82.0,174.0,98.0,2.0,2.0,4.0,3,32.37,78
82.0,168.0,66.0,1.0,0.0,8.0,2,23.38,81
82.0,183.0,63.0,1.0,4.0,1.0,2,18.81,86
82.0,194.0,90.0,1.0,13.0,7.0,2,23.91,73
82.0,183.0,85.0,1.0,0.0,5.0,2,25.38,84
82.0,195.0,101.0,0.0,20.0,6.0,2,26.56,56
82.0,187.0,81.0,1.0,1.0,8.0,1,23.16,79
82.0,204.0,95.0,3.0,6.0,8.0,2,22.83,92
82.0,168.0,93.0,1.0,0.0,7.0,2,32.95,70
82.0,183.0,76.0,1.0,2.0,6.0,2,22.69,81
82.0,167.0,75.0,1.0,11.0,10.0,2,26.89,62
82.0,187.0,79.0,0.0,0.0,8.0,2,22.59,74
82.0,199.0,84.0,2.0,18.0,1.0,2,21.21,80
82.0,194.0,82.0,1.0,17.0,5.0,3,21.79,69
82.0,192.0,69.0,1.0,0.0,3.0,3,18.72,87
82.0,156.0,94.0,0.0,19.0,5.0,3,38.63,50
82.0,209.0,86.0,2.0,17.0,5.0,3,19.69,74
82.0,168.0,81.0,1.0,15.0,3.0,1,28.7,70
82.0,182.0,82.0,1.0,7.0,9.0,2,24.76,75
82.0,214.0,68.0,2.0,10.0,3.0,4,14.85,82
82.0,174.0,111.0,1.0,17.0,4.0,2,36.66,64
82.0,175.0,81.0,2.0,0.0,1.0,3,26.45,87
82.0,179.0,95.0,1.0,15.0,1.0,3,29.65,70
82.0,163.0,100.0,2.0,18.0,4.0,3,37.64,66
82.0,174.0,98.0,2.0,2.0,8.0,3,32.37,83
82.0,196.0,72.0,1.0,0.0,5.0,3,18.74,82
82.0,162.0,84.0,2.0,19.0,4.0,3,32.01,73
82.0,212.0,92.0,1.0,12.0,1.0,5,20.47,72
82.0,194.0,85.0,1.0,14.0,9.0,1,22.58,74
82.0,190.0,83.0,2.0,17.0,1.0,4,22.99,77
82.0,161.0,96.0,2.0,13.0,7.0,2,37.04,68
82.0,180.0,63.0,3.0,14.0,3.0,3,19.44,88
82.0,190.0,71.0,1.0,0.0,0.0,3,19.67,85
82.0,167.0,71.0,2.0,16.0,7.0,3,25.46,67
82.0,171.0,85.0,2.0,4.0,6.0,3,29.07,76
82.0,182.0,68.0,3.0,7.0,8.0,2,20.53,92
82.0,184.0,80.0,1.0,15.0,7.0,4,23.63,62
82.0,165.0,80.0,2.0,3.0,9.0,2,29.38,79
82.0,188.0,81.0,2.0,4.0,1.0,2,22.92,90
82.0,169.0,86.0,2.0,14.0,3.0,3,30.11,76
82.0,179.0,72.0,1.0,7.0,9.0,2,22.47,71
82.0,193.0,112.0,2.0,4.0,7.0,2,30.07,84
82.0,184.0,71.0,0.0,9.0,6.0,2,20.97,69
82.0,182.0,65.0,1.0,13.0,5.0,1,19.62,74
82.0,181.0,70.0,1.0,3.0,8.0,3,21.37,78
82.0,168.0,97.0,1.0,14.0,5.0,1,34.37,68
82.0,170.0,108.0,1.0,4.0,5.0,2,37.37,74
82.0,193.0,83.0,2.0,0.0,8.0,3,22.28,81
82.0,196.0,76.0,2.0,3.0,9.0,2,19.78,88
82.0,176.0,68.0,1.0,19.0,7.0,1,21.95,70
82.0,175.0,63.0,0.0,18.0,4.0,2,20.57,65
82.0,182.0,83.0,2.0,22.0,5.0,3,25.06,73
82.0,179.0,90.0,1.0,17.0,2.0,2,28.09,68
82.0,189.0,75.0,2.0,7.0,5.0,3,21.0,84
82.0,186.0,66.0,2.0,17.0,0.0,2,19.08,80
82.0,183.0,72.0,2.0,22.0,9.0,5,21.5,69
82.0,179.0,63.0,2.0,11.0,6.0,1,19.66,86
82.0,178.0,80.0,0.0,16.0,3.0,2,25.25,62
82.0,180.0,65.0,2.0,17.0,5.0,3,20.06,79
82.0,163.0,73.0,3.0,15.0,6.0,2,27.48,90
82.0,199.0,89.0,2.0,11.0,9.0,2,22.47,77
82.0,174.0,64.0,2.0,19.0,0.0,3,21.14,83
82.0,178.0,97.0,3.0,20.0,6.0,1,30.61,87
82.0,207.0,90.0,2.0,8.0,7.0,1,21.0,92
82.0,198.0,95.0,1.0,8.0,8.0,3,24.23,71
82.0,189.0,88.0,1.0,2.0,1.0,3,24.64,79
82.0,173.0,99.0,3.0,9.0,9.0,2,33.08,83
82.0,190.0,91.0,1.0,0.0,3.0,2,25.21,83
82.0,179.0,93.0,2.0,9.0,9.0,3,29.03,76
82.0,207.0,90.0,2.0,0.0,1.0,2,21.0,99
82.0,185.0,76.0,2.0,3.0,8.0,3,22.21,77
82.0,196.0,78.0,0.0,15.0,7.0,2,20.3,63
82.0,174.0,74.0,2.0,13.0,5.0,3,24.44,81
82.0,192.0,75.0,1.0,12.0,6.0,3,20.35,70
82.0,176.0,67.0,1.0,19.0,6.0,3,21.63,59
82.0,175.0,109.0,0.0,16.0,8.0,2,35.59,51
82.0,202.0,70.0,1.0,22.0,1.0,3,17.16,70
82.0,172.0,74.0,1.0,18.0,8.0,3,25.01,63
82.0,210.0,86.0,3.0,4.0,6.0,2,19.5,97
82.0,188.0,79.0,1.0,9.0,9.0,1,22.35,73
82.0,187.0,70.0,1.0,0.0,5.0,1,20.02,85
82.0,161.0,72.0,2.0,10.0,5.0,3,27.78,74
82.0,197.0,76.0,2.0,11.0,1.0,2,19.58,86
82.0,167.0,80.0,1.0,11.0,9.0,1,28.69,69
82.0,194.0,76.0,2.0,19.0,9.0,1,20.19,78
82.0,183.0,101.0,3.0,0.0,9.0,3,30.16,94
82.0,182.0,81.0,1.0,22.0,2.0,2,24.45,64
82.0,179.0,90.0,1.0,1.0,5.0,1,28.09,82
82.0,179.0,79.0,1.0,20.0,0.0,1,24.66,74
82.0,173.0,67.0,1.0,0.0,8.0,3,22.39,79
82.0,178.0,72.0,3.0,8.0,7.0,3,22.72,90
82.0,170.0,75.0,1.0,4.0,1.0,3,25.95,81
82.0,176.0,63.0,1.0,14.0,9.0,4,20.34,61
82.0,176.0,65.0,1.0,17.0,3.0,3,20.98,67
82.0,180.0,73.0,1.0,18.0,2.0,3,22.53,71
82.0,196.0,94.0,2.0,3.0,6.0,4,24.47,76
82.0,187.0,92.0,1.0,22.0,8.0,2,26.31,61
82.0,186.0,96.0,2.0,14.0,9.0,2,27.75,70
82.0,161.0,78.0,3.0,16.0,3.0,2,30.09,87
82.0,176.0,79.0,2.0,0.0,6.0,3,25.5,87
82.0,202.0,87.0,1.0,16.0,8.0,2,21.32,70
82.0,179.0,60.0,3.0,7.0,2.0,1,18.73,101
82.0,201.0,91.0,2.0,21.0,4.0,3,22.52,74
82.0,198.0,71.0,3.0,17.0,7.0,1,18.11,88
82.0,180.0,74.0,3.0,10.0,8.0,4,22.84,87
82.0,168.0,68.0,2.0,0.0,4.0,3,24.09,93
82.0,180.0,89.0,2.0,3.0,4.0,2,27.47,91
82.0,161.0,90.0,2.0,13.0,6.0,3,34.72,71
82.0,189.0,62.0,1.0,19.0,4.0,2,17.36,70
82.0,199.0,80.0,1.0,17.0,6.0,3,20.2,68
82.0,201.0,100.0,1.0,21.0,9.0,5,24.75,56
82.0,196.0,92.0,1.0,11.0,7.0,1,23.95,72
82.0,185.0,66.0,3.0,9.0,1.0,1,19.28,100
82.0,192.0,63.0,0.0,4.0,6.0,2,17.09,76
82.0,177.0,100.0,2.0,11.0,1.0,1,31.92,82
82.0,173.0,66.0,2.0,17.0,4.0,2,22.05,83
82.0,184.0,78.0,1.0,0.0,9.0,4,23.04,78
82.0,173.0,94.0,2.0,16.0,8.0,2,31.41,66
82.0,208.0,93.0,1.0,4.0,4.0,1,21.5,87
82.0,213.0,89.0,1.0,2.0,3.0,2,19.62,87
82.0,201.0,82.0,1.0,3.0,4.0,3,20.3,79
82.0,190.0,84.0,2.0,0.0,6.0,3,23.27,84
82.0,184.0,82.0,4.0,21.0,0.0,2,24.22,94
82.0,190.0,111.0,2.0,4.0,8.0,2,30.75,76
